Orthogroup	hi_protein	pa_protein	sa_mrsa_protein
OG0000160		AAG04175.1, AAG04929.1, AAG04930.1, AAG05271.1, AAG06653.1, AAG08375.1	
OG0000161		AAG04231.1, AAG05627.1, AAG07699.1, AAG08395.1, AAG08833.1, AAG08834.1	
OG0000162		AAG04264.1, AAG04621.1, AAG04659.1, AAG05819.1, AAG06693.1, AAG07280.1	
OG0000163		AAG04276.1, AAG05385.1, AAG06956.1, AAG08119.1	WIO64830.1, WIO65817.1
OG0000164		AAG04497.1, AAG06961.1, AAG07105.1, AAG07523.1	WIO65559.1, WIO65632.1
OG0000165		AAG04516.1, AAG05128.1, AAG05923.1, AAG07182.1, AAG07822.1	WIO66545.1
OG0000166		AAG04637.1, AAG05264.1, AAG05910.1, AAG06792.1, AAG07531.1, AAG08359.1	
OG0000167		AAG04729.1, AAG04730.1, AAG05590.1, AAG05591.1, AAG07580.1, AAG07581.1	
OG0000168		AAG04756.1, AAG05293.1, AAG06158.1, AAG06966.1, AAG07602.1, AAG08102.1	
OG0000169		AAG04806.1, AAG04891.1, AAG05423.1, AAG06894.1, AAG08286.1, AAG08362.1	
OG0000170		AAG04912.1, AAG04990.1, AAG05269.1, AAG05321.1, AAG05766.1, AAG08009.1	
OG0000171		AAG04913.1, AAG04991.1, AAG05270.1, AAG05319.1, AAG05767.1, AAG08008.1	
OG0000172		AAG04926.1, AAG05038.1, AAG06665.1, AAG06712.1, AAG06899.1, AAG07344.1	
OG0000173		AAG05712.1, AAG05713.1, AAG05734.1, AAG05735.1, AAG05743.1, AAG07326.1	
OG0000174		AAG07148.1	WIO64821.1, WIO65529.1, WIO65729.1, WIO66092.1, WIO66135.1
OG0000175			WIO64859.1, WIO65502.1, WIO65689.1, WIO65690.1, WIO66022.1, WIO66561.1
OG0000176			WIO65366.1, WIO65853.1, WIO66137.1, WIO66283.1, WIO66284.1, WIO67219.1
OG0000177			WIO65680.1, WIO65681.1, WIO66013.1, WIO67318.1, WIO67319.1, WIO67320.1
OG0000178	AJO87064.1	AAG03881.1, AAG05500.1, AAG07899.1	WIO64703.1
OG0000179	AJO87139.1, AJO87141.1, AJO87143.1, AJO87536.1	AAG03749.1	
OG0000180	AJO87149.1, AJO88549.1	AAG03705.1, AAG08014.1	WIO64818.1
OG0000181	AJO87170.1	AAG04762.1, AAG04998.1, AAG06353.1	WIO66850.1
OG0000182	AJO87178.1, AJO87179.1, AJO87366.1	AAG04814.1, AAG06407.1	
OG0000183	AJO87236.1, AJO87675.1	AAG04342.1, AAG04870.1, AAG05865.1	
OG0000184	AJO87240.1	AAG06416.1, AAG07301.1	WIO65480.1, WIO67142.1
OG0000185	AJO87306.1, AJO88612.1	AAG04243.1, AAG08814.1	WIO64944.1
OG0000186	AJO87344.1	AAG04174.1, AAG05350.1, AAG06611.1	WIO66102.1
OG0000187	AJO87368.1	AAG06819.1, AAG07400.1	WIO65731.1, WIO66156.1
OG0000188	AJO87370.1	AAG08433.1	WIO65186.1, WIO66730.1, WIO67347.1
OG0000189	AJO87501.1	AAG03900.1, AAG04894.1, AAG07257.1	WIO65475.1
OG0000190	AJO87535.1	AAG05661.1, AAG06106.1, AAG07077.1, AAG08501.1	
OG0000191	AJO87538.1	AAG04957.1, AAG07560.1, AAG08468.1, AAG08688.1	
OG0000192	AJO87549.1, AJO87588.1, AJO87649.1	AAG07891.1	WIO66852.1
OG0000193	AJO87550.1, AJO87589.1	AAG07892.1	WIO66861.1, WIO67240.1
OG0000194	AJO87552.1, AJO87591.1, AJO87652.1	AAG07894.1	WIO66859.1
OG0000195	AJO87558.1, AJO88143.1, AJO88283.1	AAG04691.1, AAG06796.1	
OG0000196	AJO87595.1	AAG04277.1, AAG06311.1, AAG07252.1, AAG08538.1	
OG0000197	AJO87597.1	AAG04279.1, AAG04647.1, AAG06313.1, AAG08540.1	
OG0000198	AJO87654.1	AAG08877.1	WIO64697.1, WIO64768.1, WIO67105.1
OG0000199	AJO87659.1	AAG05731.1, AAG06412.1	WIO65695.1, WIO66489.1
OG0000200	AJO87663.1	AAG05725.1	WIO65583.1, WIO66113.1, WIO66609.1
OG0000201	AJO87682.1	AAG07754.1, AAG07856.1	WIO64657.1, WIO66041.1
OG0000202	AJO87755.1	AAG04606.1, AAG05399.1	WIO65271.1, WIO66843.1
OG0000203	AJO87762.1, AJO88292.1	AAG06517.1, AAG08237.1	WIO66008.1
OG0000204	AJO87789.1	AAG08700.1	WIO64655.1, WIO66472.1, WIO67200.1
OG0000205	AJO87811.1	AAG05328.1, AAG05535.1, AAG07624.1	WIO67199.1
OG0000206	AJO87829.1	AAG04596.1, AAG08903.1, AAG08914.1	WIO66874.1
OG0000207	AJO87850.1	AAG05832.1, AAG07990.1, AAG08800.1	WIO65327.1
OG0000208	AJO87896.1	AAG04150.1, AAG04972.1, AAG05686.1	WIO67013.1
OG0000209	AJO87960.1	AAG05389.1, AAG05941.1, AAG07312.1	WIO66302.1
OG0000210	AJO87989.1	AAG04058.1, AAG07028.1	WIO64797.1, WIO65149.1
OG0000211	AJO88008.1	AAG05738.1, AAG08888.1	WIO66399.1, WIO66751.1
OG0000212	AJO88009.1	AAG05739.1, AAG08889.1	WIO66400.1, WIO66752.1
OG0000213	AJO88023.1, AJO88712.1	AAG03415.1, AAG03633.1	WIO64696.1
OG0000214	AJO88036.1	AAG03940.1, AAG06583.1	WIO64783.1, WIO66713.1
OG0000215	AJO88051.1	AAG04157.1, AAG04692.1	WIO66831.1, WIO66832.1
OG0000216	AJO88088.1, AJO88169.1	AAG04273.1, AAG08004.1, AAG08552.1	
OG0000217	AJO88089.1	AAG07484.1, AAG07540.1	WIO66141.1, WIO66143.1
OG0000218	AJO88090.1	AAG03510.1, AAG05016.1, AAG08155.1, AAG08741.1	
OG0000219	AJO88117.1	AAG05140.1, AAG06082.1, AAG08625.1	WIO67009.1
OG0000220	AJO88135.1	AAG06122.1	WIO64902.1, WIO65943.1, WIO66381.1
OG0000221	AJO88173.1	AAG03841.1, AAG05825.1, AAG07970.1, AAG08326.1	
OG0000222	AJO88200.1, AJO88598.1	AAG05307.1, AAG06114.1	WIO66117.1
OG0000223	AJO88232.1	AAG07398.1, AAG08629.1	WIO66394.1, WIO67277.1
OG0000224	AJO88247.1, AJO88734.1	AAG03874.1, AAG06861.1	WIO65898.1
OG0000225	AJO88265.1, AJO88772.1	AAG04395.1, AAG04953.1	WIO65971.1
OG0000226	AJO88274.1, AJO88470.1	AAG03588.1, AAG04083.1, AAG04359.1	
OG0000227	AJO88301.1, AJO88596.1	AAG07357.1	WIO65351.1, WIO66044.1
OG0000228	AJO88319.1	AAG04076.1, AAG06064.1, AAG06490.1	WIO64647.1
OG0000229	AJO88376.1, AJO88377.1, AJO88493.1	AAG08886.1	WIO66574.1
OG0000230	AJO88472.1	AAG04357.1, AAG08570.1, AAG08714.1	WIO67214.1
OG0000231	AJO88488.1	AAG04384.1, AAG05506.1, AAG06984.1	WIO65741.1
OG0000232	AJO88651.1	AAG06650.1, AAG07104.1, AAG07960.1, AAG08639.1	
OG0000233	AJO88656.1, AJO88687.1	AAG07653.1, AAG07665.1	WIO66485.1
OG0000234	AJO88657.1	AAG05459.1, AAG07654.1	WIO66340.1, WIO66484.1
OG0000235	AJO88677.1	AAG03409.1, AAG04511.1	WIO66958.1, WIO67077.1
OG0000236	AJO88756.1	AAG07008.1	WIO65261.1, WIO67008.1, WIO67153.1
OG0000237		AAG03507.1, AAG06275.1, AAG06516.1, AAG06825.1, AAG07466.1	
OG0000238		AAG03519.1, AAG04178.1, AAG05467.1, AAG08482.1	WIO65522.1
OG0000239		AAG03522.1, AAG03610.1, AAG03688.1, AAG08191.1, AAG08698.1	
OG0000240		AAG03524.1, AAG03532.1, AAG04910.1, AAG06558.1, AAG08491.1	
OG0000241		AAG03527.1, AAG03528.1, AAG04462.1, AAG08244.1, AAG08297.1	
OG0000242		AAG03567.1, AAG03799.1, AAG04853.1, AAG06737.1, AAG07094.1	
OG0000243		AAG03577.1, AAG03583.1, AAG03584.1, AAG05698.1, AAG07322.1	
OG0000244		AAG03630.1, AAG05602.1, AAG05650.1, AAG07513.1	WIO65699.1
OG0000245		AAG03639.1, AAG05243.1, AAG05547.1, AAG05580.1, AAG06621.1	
OG0000246		AAG03642.1, AAG04331.1, AAG04992.1, AAG06846.1, AAG07522.1	
OG0000247		AAG03707.1, AAG05859.1, AAG07508.1, AAG07509.1	WIO66835.1
OG0000248		AAG03744.1, AAG07558.1, AAG07724.1, AAG08630.1	WIO64969.1
OG0000249		AAG03835.1, AAG04271.1, AAG04577.1, AAG06980.1, AAG07120.1	
OG0000250		AAG03863.1, AAG04982.1, AAG07358.1, AAG08587.1, AAG08631.1	
OG0000251		AAG03892.1, AAG04550.1, AAG06038.1, AAG06507.1, AAG07462.1	
OG0000252		AAG04166.1, AAG07414.1, AAG08522.1, AAG08523.1, AAG08524.1	
OG0000253		AAG04597.1, AAG04927.1, AAG05485.1	WIO64522.1, WIO65775.1
OG0000254		AAG04610.1, AAG07465.1, AAG07613.1, AAG07614.1	WIO66799.1
OG0000255		AAG04636.1, AAG05266.1, AAG06793.1, AAG07529.1, AAG07979.1	
OG0000256		AAG04655.1, AAG04877.1, AAG05582.1, AAG05631.1, AAG08803.1	
OG0000257		AAG04675.1, AAG05479.1, AAG05977.1, AAG06920.1, AAG07313.1	
OG0000258		AAG04826.1, AAG05911.1, AAG06197.1, AAG08270.1	WIO67273.1
OG0000259		AAG04861.1, AAG05316.1, AAG06636.1, AAG08818.1	WIO66293.1
OG0000260		AAG04873.1, AAG05979.1, AAG06987.1, AAG07158.1, AAG08192.1	
OG0000261		AAG05066.1, AAG07170.1, AAG07340.1	WIO65015.1, WIO66089.1
OG0000262		AAG05486.1, AAG08769.1	WIO65554.1, WIO65726.1, WIO66597.1
OG0000263		AAG05543.1, AAG07727.1, AAG08779.1	WIO65302.1, WIO67184.1
OG0000264		AAG05636.1, AAG06804.1, AAG07538.1	WIO64620.1, WIO66961.1
OG0000265		AAG05823.1, AAG07078.1	WIO65953.1, WIO65969.1, WIO67414.1
OG0000266		AAG05834.1, AAG08182.1, AAG08599.1	WIO66277.1, WIO66747.1
OG0000267		AAG06175.1, AAG08591.1, AAG08775.1	WIO64849.1, WIO65096.1
OG0000268		AAG06333.1, AAG07992.1, AAG08917.1, AAG08920.1	WIO66388.1
OG0000269		AAG08597.1, AAG08846.1, AAG08847.1, AAG08848.1, AAG08852.1	
OG0000270			WIO64534.1, WIO65040.1, WIO65254.1, WIO66273.1, WIO67109.1
OG0000271			WIO65389.1, WIO65391.1, WIO66028.1, WIO66030.1, WIO66031.1
OG0000272			WIO65558.1, WIO65579.1, WIO65747.1, WIO65804.1, WIO67387.1
OG0000273			WIO65571.1, WIO66146.1, WIO66147.1, WIO66150.1, WIO66581.1
OG0000274	AJO87061.1, AJO87872.1	AAG08322.1	WIO66721.1
OG0000275	AJO87062.1	AAG05499.1, AAG07898.1	WIO64707.1
OG0000276	AJO87071.1	AAG06136.1, AAG07045.1	WIO64982.1
OG0000277	AJO87084.1, AJO87865.1	AAG07218.1	WIO66809.1
OG0000278	AJO87092.1, AJO87966.1, AJO87977.1, AJO88627.1		
OG0000279	AJO87131.1	AAG08315.1, AAG08687.1	WIO65284.1
OG0000280	AJO87133.1	AAG04887.1, AAG07717.1	WIO64792.1
OG0000281	AJO87144.1	AAG08052.1, AAG08855.1	WIO65331.1
OG0000282	AJO87152.1	AAG03890.1	WIO65621.1, WIO66487.1
OG0000283	AJO87155.1, AJO87243.1	AAG03893.1	WIO65624.1
OG0000284	AJO87176.1, AJO88221.1	AAG03401.1, AAG06630.1	
OG0000285	AJO87196.1	AAG04514.1, AAG04586.1	WIO65407.1
OG0000286	AJO87205.1	AAG03421.1, AAG03573.1, AAG05721.1	
OG0000287	AJO87211.1	AAG07671.1	WIO64716.1, WIO65221.1
OG0000288	AJO87234.1	AAG06215.1	WIO65872.1, WIO67283.1
OG0000289	AJO87239.1	AAG05491.1, AAG08050.1	WIO65483.1
OG0000290	AJO87258.1, AJO87308.1	AAG06504.1	WIO67253.1
OG0000291	AJO87270.1, AJO88451.1, AJO88456.1		WIO65085.1
OG0000292	AJO87317.1	AAG04039.1, AAG05997.1	WIO67229.1
OG0000293	AJO87348.1	ABG56537.1	WIO64481.1, WIO64804.1
OG0000294	AJO87358.1, AJO87766.1	AAG04172.1	WIO64997.1
OG0000295	AJO87381.1, AJO88240.1		WIO65942.1, WIO66097.1
OG0000296	AJO87433.1	AAG06556.1	WIO65923.1, WIO67217.1
OG0000297	AJO87474.1, AJO87556.1	AAG06551.1	WIO64520.1
OG0000298	AJO87485.1	AAG04545.1, AAG08882.1	WIO66670.1
OG0000299	AJO87486.1	AAG04544.1	WIO65125.1, WIO66671.1
OG0000300	AJO87489.1	AAG04221.1, AAG04804.1	WIO64649.1
OG0000301	AJO87493.1	AAG06645.1, AAG08519.1	WIO67280.1
OG0000302	AJO87520.1	AAG04057.1, AAG07525.1	WIO64824.1
OG0000303	AJO87557.1	AAG08156.1	WIO65570.1, WIO66020.1
OG0000304	AJO87564.1, AJO87895.1	AAG07088.1	WIO66456.1
OG0000305	AJO87596.1	AAG04278.1, AAG06312.1, AAG08539.1	
OG0000306	AJO87613.1	AAG05007.1, AAG08215.1	WIO66811.1
OG0000307	AJO87616.1	AAG04238.1, AAG06004.1	WIO66705.1
OG0000308	AJO87627.1, AJO88531.1	AAG07852.1	WIO65367.1
OG0000309	AJO87634.1	AAG07588.1, AAG07798.1	WIO65297.1
OG0000310	AJO87640.1	AAG07804.1	WIO64986.1, WIO65296.1
OG0000311	AJO87689.1	AAG07838.1	WIO65313.1, WIO65337.1
OG0000312	AJO87691.1	AAG03702.1, AAG04646.1	WIO65610.1
OG0000313	AJO87694.1	AAG05656.1, AAG07025.1	WIO65340.1
OG0000314	AJO87710.1	AAG07030.1	WIO67106.1, WIO67341.1
OG0000315	AJO87734.1, AJO88125.1	AAG08074.1, AAG08602.1	
OG0000316	AJO87747.1, AJO88666.1, AJO88718.1, AJO88762.1		
OG0000317	AJO87753.1	AAG05176.1, AAG06509.1	WIO65273.1
OG0000318	AJO87769.1	AAG03882.1, AAG08232.1	WIO64631.1
OG0000319	AJO87778.1	AAG04045.1, AAG06683.1	WIO64931.1
OG0000320	AJO87781.1, AJO88352.1	AAG04322.1	WIO64992.1
OG0000321	AJO87782.1	AAG03664.1, AAG04041.1	WIO65844.1
OG0000322	AJO87787.1	AAG08704.1	WIO65964.1, WIO65988.1
OG0000323	AJO87803.1	AAG07205.1	WIO65517.1, WIO66974.1
OG0000324	AJO87821.1	AAG05924.1, AAG07039.1	WIO67123.1
OG0000325	AJO87830.1	AAG06568.1, AAG07788.1	WIO65683.1
OG0000326	AJO87831.1	AAG07791.1	WIO65862.1, WIO66693.1
OG0000327	AJO87840.1	AAG03739.1	WIO66348.1, WIO67286.1
OG0000328	AJO87870.1	AAG04438.1, AAG07604.1, AAO42617.1	
OG0000329	AJO87877.1	AAG08878.1	WIO64482.1, WIO64786.1
OG0000330	AJO87908.1, AJO88582.1	AAG03526.1, AAG05335.1	
OG0000331	AJO87916.1	AAG06405.1, AAG06697.1	WIO64805.1
OG0000332	AJO87917.1	AAG04292.1, AAG05494.1	WIO64715.1
OG0000333	AJO87932.1	AAG06988.1, AAG07630.1	WIO65433.1
OG0000334	AJO87933.1	AAG07631.1	WIO65436.1, WIO65866.1
OG0000335	AJO87973.1	AAG06989.1, AAG08434.1	WIO65333.1
OG0000336	AJO87984.1	AAG06079.1, AAG07926.1	WIO66808.1
OG0000337	AJO87990.1	AAG03720.1, AAG04715.1	WIO65275.1
OG0000338	AJO88003.1	AAG08224.1, AAG08662.1	WIO67258.1
OG0000339	AJO88007.1	AAG03396.1	WIO64820.1, WIO66492.1
OG0000340	AJO88022.1	AAG07226.1	WIO65013.1, WIO66954.1
OG0000341	AJO88024.1	AAG05493.1, AAG07203.1	WIO67328.1
OG0000342	AJO88030.1	AAG05770.1, AAG08157.1	WIO65551.1
OG0000343	AJO88048.1	AAG05567.1, AAG08015.1	WIO66479.1
OG0000344	AJO88077.1	AAG05933.1, AAG07559.1, AAG08717.1	
OG0000345	AJO88102.1	AAG08332.1, AAG08923.1	WIO64728.1
OG0000346	AJO88114.1	AAG05182.1, AAG06615.1	WIO66821.1
OG0000347	AJO88118.1	AAG04316.1	WIO65713.1, WIO65754.1
OG0000348	AJO88122.1	AAG04293.1	WIO67191.1, WIO67252.1
OG0000349	AJO88130.1	AAG07052.1	WIO66746.1, WIO66863.1
OG0000350	AJO88132.1	AAG07149.1, AAG07833.1	WIO64662.1
OG0000351	AJO88138.1, AJO88535.1	AAG07135.1	WIO66785.1
OG0000352	AJO88154.1	AAG04908.1, AAG08105.1	WIO65458.1
OG0000353	AJO88159.1	AAG03780.1, AAG07186.1	WIO64516.1
OG0000354	AJO88160.1	AAG05205.1, AAG06620.1	WIO64989.1
OG0000355	AJO88179.1	AAG03603.1, AAG06356.1	WIO67092.1
OG0000356	AJO88196.1	AAG04858.1, AAG07931.1	WIO67052.1
OG0000357	AJO88202.1	AAG06165.1	WIO65600.1, WIO66199.1
OG0000358	AJO88261.1	AAG04396.1	WIO66876.1, WIO67221.1
OG0000359	AJO88298.1	AAG04340.1, AAG06139.1	WIO64977.1
OG0000360	AJO88300.1	AAG03918.1, AAG05617.1	WIO65542.1
OG0000361	AJO88302.1, AJO88504.1	AAG06983.1, AAG07136.1	
OG0000362	AJO88307.1, AJO88560.1, AJO88606.1	AAG08819.1	
OG0000363	AJO88308.1	AAG05831.1, AAG08764.1	WIO65721.1
OG0000364	AJO88310.1	AAG04938.1, AAG07307.1	WIO65752.1
OG0000365	AJO88322.1	AAG04196.1, AAG07910.1, AAG08870.1	
OG0000366	AJO88323.1	AAG07370.1, AAG08747.1	WIO66641.1
OG0000367	AJO88325.1	AAG03808.1, AAG08456.1	WIO64678.1
OG0000368	AJO88355.1	AAG06417.1, AAG07302.1	WIO65482.1
OG0000369	AJO88395.1	AAG05450.1, AAG07201.1	WIO67358.1
OG0000370	AJO88484.1	AAG08356.1, AAG08561.1	WIO64603.1
OG0000371	AJO88487.1	AAG04677.1, AAG05153.1, AAG07977.1	
OG0000372	AJO88502.1	AAG07362.1	WIO65307.1, WIO66516.1
OG0000373	AJO88530.1	AAG06949.1	WIO65403.1, WIO66638.1
OG0000374	AJO88556.1	AAG06540.1, AAG08527.1	WIO65882.1
OG0000375	AJO88572.1	AAG03951.1, AAG05455.1	WIO65526.1
OG0000376	AJO88597.1		WIO66208.1, WIO66459.1, WIO66586.1
OG0000377	AJO88611.1	AAG03965.1, AAG07010.1	WIO64664.1
OG0000378	AJO88635.1	AAG06571.1, AAG08824.1	WIO64609.1
OG0000379	AJO88644.1	AAG03394.1	WIO65922.1, WIO67351.1
OG0000380	AJO88648.1, AJO88735.1	AAG08729.1	WIO66614.1
OG0000381	AJO88660.1	AAG08950.1	WIO65915.1, WIO67112.1
OG0000382	AJO88668.1	AAG08558.1	WIO65845.1, WIO67034.1
OG0000383	AJO88703.1	AAG05536.1, AAG05946.1, AAG08023.1	
OG0000384	AJO88713.1	AAG03412.1	WIO66844.1, WIO67372.1
OG0000385	AJO88723.1	AAG06823.1, AAG07901.1	WIO65830.1
OG0000386	AJO88726.1	AAG07021.1	WIO66144.1, WIO66148.1
OG0000387	AJO88731.1	AAG03872.1, AAG05274.1, AAG07413.1	
OG0000388	AJO88739.1	AAG06413.1, AAG06972.1	WIO67159.1
OG0000389	AJO88740.1	AAG08620.1	WIO66112.1, WIO66288.1
OG0000390	AJO88745.1	AAG04499.1, AAG07355.1	WIO64597.1
OG0000391		AAG03397.1, AAG05329.1, AAG05465.1, AAG05466.1	
OG0000392		AAG03419.1, AAG03493.1, AAG05036.1, AAG05951.1	
OG0000393		AAG03420.1, AAG06624.1, AAG08763.1, AAG08773.1	
OG0000394		AAG03441.1, AAG04603.1, AAG05472.1, AAG06847.1	
OG0000395		AAG03464.1, AAG05890.1, AAG06115.1	WIO67082.1
OG0000396		AAG03503.1, AAG04710.1, AAG08743.1	WIO66982.1
OG0000397		AAG03506.1, AAG04763.1, AAG04996.1, AAG06101.1	
OG0000398		AAG03509.1, AAG04572.1, AAG08864.1	WIO65586.1
OG0000399		AAG03523.1, AAG03678.1, AAG04534.1, AAG04811.1	
OG0000400		AAG03545.1, AAG05019.1, AAG06896.1, AAG07729.1	
OG0000401		AAG03554.1, AAG03750.1, AAG04727.1	WIO66101.1
OG0000402		AAG03565.1, AAG03801.1, AAG06736.1, AAG07093.1	
OG0000403		AAG03591.1, AAG04093.1, AAG07550.1, AAG07730.1	
OG0000404		AAG03611.1, AAG03991.1, AAG03993.1, AAG08370.1	
OG0000405		AAG03619.1, AAG06904.1, AAG06905.1	WIO65003.1
OG0000406		AAG03626.1, AAG08534.1	WIO66108.1, WIO66109.1
OG0000407		AAG03628.1, AAG06016.1, AAG08219.1	WIO66669.1
OG0000408		AAG03666.1, AAG04394.1, AAG08020.1, AAG08432.1	
OG0000409		AAG03694.1, AAG04421.1, AAG05282.1, AAG05773.1	
OG0000410		AAG03710.1, AAG04798.1, AAG07161.1	WIO64832.1
OG0000411		AAG03724.1, AAG04532.1, AAG06643.1, AAG08932.1	
OG0000412		AAG03772.1, AAG06469.1, AAG06809.1, AAG07309.1	
OG0000413		AAG03798.1, AAG06186.1, AAG06734.1, AAG07881.1	
OG0000414		AAG03811.1, AAG04307.1, AAG06324.1, AAG06963.1	
OG0000415		AAG03846.1, AAG03851.1, AAG05157.1, AAG08581.1	
OG0000416		AAG03848.1	WIO65742.1, WIO66463.1, WIO67298.1
OG0000417		AAG03901.1, AAG03902.1, AAG03903.1, AAG03904.1	
OG0000418		AAG03919.1, AAG04284.1	WIO66087.1, WIO66824.1
OG0000419		AAG03933.1, AAG07669.1	WIO64937.1, WIO67209.1
OG0000420		AAG04067.1, AAG04070.1, AAG06063.1, AAG06489.1	
OG0000421		AAG04079.1, AAG07469.1, AAG07929.1, AAG08013.1	
OG0000422		AAG04190.1, AAG05297.1, AAG05791.1, AAG07607.1	
OG0000423		AAG04202.1, AAG05468.1, AAG05782.1, AAG06346.1	
OG0000424		AAG04263.1, AAG04622.1, AAG06617.1, AAG06800.1	
OG0000425		AAG04463.1, AAG06752.1, AAG08243.1, AAG08298.1	
OG0000426		AAG04467.1, AAG04469.1, AAG04470.1, AAG04471.1	
OG0000427		AAG04525.1, AAG04819.1, AAG05287.1, AAG06865.1	
OG0000428		AAG04535.1, AAG05379.1, AAG08571.1	WIO66055.1
OG0000429		AAG04560.1, AAG07379.1, AAG07388.1, AAG07832.1	
OG0000430		AAG04591.1, AAG05807.1, AAG06086.1, AAG07233.1	
OG0000431		AAG04594.1, AAG04599.1, AAG05806.1, AAG06628.1	
OG0000432		AAG04719.1, AAG04768.1, AAG06718.1, AAG07270.1	
OG0000433		AAG04775.1, AAG08835.1	WIO64965.1, WIO66579.1
OG0000434		AAG04843.1, AAG04851.1, AAG06632.1, AAG08948.1	
OG0000435		AAG04896.1, AAG05040.1, AAG06326.1	WIO66334.1
OG0000436		AAG04943.1, AAG04946.1, AAG05245.1, AAG07520.1	
OG0000437		AAG05141.1, AAG07785.1	WIO65641.1, WIO65809.1
OG0000438		AAG05142.1, AAG06221.1, AAG07740.1, AAG08412.1	
OG0000439		AAG05148.1, AAG05149.1, AAG06808.1, AAG07308.1	
OG0000440		AAG05169.1, AAG06888.1, AAG08289.1	WIO65597.1
OG0000441		AAG05172.1, AAG07263.1, AAG07264.1	WIO65587.1
OG0000442		AAG05244.1, AAG07521.1, ADN93059.1, ADN93060.1	
OG0000443		AAG05288.1, AAG05289.1, AAG07597.1, AAG07598.1	
OG0000444		AAG05305.1, AAG06150.1, AAG06813.1, AAG08699.1	
OG0000445		AAG05471.1, AAG05900.1, AAG05906.1, AAG08795.1	
OG0000446		AAG05507.1, AAG05546.1, AAG05576.1, AAG08806.1	
OG0000447		AAG05540.1, AAG05550.1	WIO64610.1, WIO66412.1
OG0000448		AAG05651.1, AAG07283.1	WIO65510.1, WIO66796.1
OG0000449		AAG05690.1, AAG05799.1, AAG05813.1, AAG07617.1	
OG0000450		AAG05960.1, AAG06269.1, AAG07495.1, AAG08167.1	
OG0000451		AAG06081.1, AAG07128.1, AAG08904.1	WIO64972.1
OG0000452		AAG06089.1, AAG06853.1, AAG08010.1	WIO65390.1
OG0000453		AAG06094.1, AAG06110.1, AAG07564.1, AAG08850.1	
OG0000454		AAG06213.1, AAG06237.1, AAG08542.1	WIO66627.1
OG0000455		AAG06263.1, AAG06330.1, AAG06458.1, AAG07710.1	
OG0000456		AAG06301.1, AAG07432.1, AAG08094.1	WIO66555.1
OG0000457		AAG06690.1, AAG07402.1, AAG08174.1	WIO65972.1
OG0000458		AAG06716.1, AAG07577.1, AAG08606.1, AAG08608.1	
OG0000459		AAG06782.1	WIO64914.1, WIO65027.1, WIO65703.1
OG0000460		AAG06788.1, AAG06789.1, AAG08615.1, AAG08616.1	
OG0000461		AAG07254.1	WIO65778.1, WIO67411.1, WIO67412.1
OG0000462		AAG07547.1	WIO65385.1, WIO66024.1, WIO66590.1
OG0000463		AAG08044.1	WIO65507.1, WIO65756.1, WIO65759.1
OG0000464		AAG08212.1	WIO65900.1, WIO66004.1, WIO66005.1
OG0000465			WIO64478.1, WIO65642.1, WIO66016.1, WIO66168.1
OG0000466			WIO64529.1, WIO64531.1, WIO64532.1, WIO64594.1
OG0000467			WIO64568.1, WIO65189.1, WIO65190.1, WIO66237.1
OG0000468			WIO64592.1, WIO65093.1, WIO66215.1, WIO66754.1
OG0000469			WIO64754.1, WIO65966.1, WIO65987.1, WIO67113.1
OG0000470			WIO64870.1, WIO65512.1, WIO66269.1, WIO66918.1
OG0000471			WIO64875.1, WIO65103.1, WIO65519.1, WIO65660.1
OG0000472			WIO64884.1, WIO65912.1, WIO65960.1, WIO67276.1
OG0000473			WIO65468.1, WIO65608.1, WIO67234.1, WIO67235.1
OG0000474			WIO65734.1, WIO65819.1, WIO66737.1, WIO67281.1
OG0000475			WIO65946.1, WIO65963.1, WIO65977.1, WIO65990.1
OG0000476			WIO65974.1, WIO67398.1, WIO67415.1, WIO67423.1
OG0000477			WIO66190.1, WIO66191.1, WIO66192.1, WIO66197.1
OG0000478	AJO87059.1	AAG07290.1	WIO66884.1
OG0000479	AJO87060.1	AAG05195.1	WIO66875.1
OG0000480	AJO87066.1	AAG06913.1	WIO66828.1
OG0000481	AJO87067.1	AAG04402.1	WIO66932.1
OG0000482	AJO87068.1	AAG08086.1	WIO64492.1
OG0000483	AJO87070.1	AAG04054.1	WIO66807.1
OG0000484	AJO87073.1	AAG06533.1	WIO66687.1
OG0000485	AJO87075.1	AAG08337.1	WIO67083.1
OG0000486	AJO87076.1	AAG07854.1	WIO66949.1
OG0000487	AJO87077.1	AAG03726.1	WIO66950.1
OG0000488	AJO87087.1	AAG05315.1	WIO66304.1
OG0000489	AJO87096.1	AAG05252.1	WIO65486.1
OG0000490	AJO87098.1	AAG05250.1	WIO65484.1
OG0000491	AJO87099.1, AJO87993.1		WIO66397.1
OG0000492	AJO87100.1	AAG06883.1	WIO64494.1
OG0000493	AJO87104.1	AAG06029.1, AAG06879.1	
OG0000494	AJO87107.1, AJO87164.1	AAG05221.1	
OG0000495	AJO87109.1	AAG03843.1	WIO67385.1
OG0000496	AJO87112.1, AJO87505.1, AJO88285.1		
OG0000497	AJO87113.1	AAG08594.1	WIO66868.1
OG0000498	AJO87114.1	AAG07997.1	WIO66464.1
OG0000499	AJO87118.1	AAG06001.1	WIO64723.1
OG0000500	AJO87120.1	AAG07702.1, AAG08805.1	
OG0000501	AJO87122.1, AJO87662.1		WIO65506.1
